category,cluster_id,cluster_label,primary_crm_segment,strategic_action,total_skus,total_products,total_units_sold,avg_price,avg_discount,total_gmv,total_warehouse_stock,total_fifo_val,total_discount_erosion,total_freight_cost,total_holding_cost,total_net_margin
curve,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,748,748,11220,11.71922459893048,14.29812834224599,131489.69999999998,189117,933428.25,18800.566062834223,9537.0,9350.0,93802.13393716575
curve,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,1751,1751,26265,14.376601941747573,8.499714448886351,377601.44999999995,442406,2760165.15,32095.045004854368,22325.25,21887.5,301293.65499514557
curve,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,348,348,5220,7.377787356321838,43.979885057471265,38512.05,84706,268251.7,16937.55532327586,4437.0,4350.0,12787.494676724142
electronics,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,256,256,3840,3.402421875,6.83984375,13065.300000000001,66402,98811.0,893.6461054687502,3264.0,3200.0,5707.653894531251
electronics,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,3337,3337,50055,4.3756427929277795,2.7893317350913995,219022.8,862461,1601075.63,6109.272467485765,42546.75,41712.5,128654.27753251421
electronics,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,801,801,12015,14.23729088639201,44.19101123595506,171061.05,208597,1278000.95,75593.6078258427,10212.75,10012.5,75242.19217415729
home_and_kitchen,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,2915,2915,43725,4.128789022298457,3.6562607204116637,180531.30000000002,741844,1299713.52,6600.695009948542,37166.25,36437.5,100326.85499005148
home_and_kitchen,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,804,804,12060,5.809241293532338,48.3955223880597,70059.45,207044,502519.69,33905.63680970149,10251.0,10050.0,15852.813190298504
home_textile,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,466,466,6990,10.416223175965666,12.67381974248927,72809.4,115446,540339.08,9227.732111587982,5941.5,5825.0,51815.16788841201
home_textile,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,2661,2661,39915,8.920334460729048,2.871476888387824,356055.15,675455,2506720.84,10224.041342164599,33927.75,33262.5,278640.8586578354
home_textile,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,755,755,11325,17.86139072847682,43.07682119205298,202280.25,190567,1477110.78,87135.90159933775,9626.25,9437.5,96080.59840066225
jewelry_and_accessories,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,3132,3132,46980,2.9285376756066412,5.271392081736909,137582.7,797963,995945.24,7252.523553639848,39933.0,39150.0,51247.17644636016
jewelry_and_accessories,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,415,415,6225,1.6482168674698794,45.83855421686747,10260.15,103402,72466.11,4703.104420481928,5291.25,5187.5,-4921.7044204819285
kids,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,468,468,7020,8.07698717948718,14.694444444444445,56700.45,120110,406112.27,8331.816125,5967.0,5850.0,36551.633875
kids,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,3371,3371,50565,8.97430139424503,11.747552654998517,453785.55,849097,3216874.19,53308.69642702462,42980.25,42137.5,315359.1035729754
kids,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,474,474,7110,5.224324894514767,41.177215189873415,37144.950000000004,121504,273134.07,15295.255993670888,6043.5,5925.0,9881.194006329119
mens_clothes,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,606,606,9090,12.09854785478548,14.41914191419142,109975.79999999999,151138,773515.87,15857.566673267325,7726.5,7575.0,78816.73332673266
mens_clothes,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,975,975,14625,13.770317948717949,11.58871794871795,201390.89999999997,242910,1426891.53,23338.623375384614,12431.25,12187.5,153433.52662461536
mens_clothes,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,308,308,4620,8.005681818181818,45.133116883116884,36986.25,82169,286166.45,16693.04744318182,3927.0,3850.0,12516.202556818182
office_and_school_supplies,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,3364,3364,50460,5.509369797859691,3.455707491082045,278002.8,853344,2091299.62,9606.963585017837,42891.0,42050.0,183454.83641498216
office_and_school_supplies,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,868,868,13020,10.152534562211981,47.34216589861751,132186.0,220678,983407.65,62579.71541474654,11067.0,10850.0,47689.28458525345
pet_supplies,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,97,97,1455,2.961443298969072,12.103092783505154,4308.9,23537,29638.579999999998,521.5101649484535,1236.75,1212.5,1338.139835051546
pet_supplies,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,2781,2781,41715,5.961258540093491,11.216828478964402,248673.9,719952,1812351.91,27893.324834951458,35457.75,34762.5,150560.32516504853
pet_supplies,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,1204,1204,18060,17.668496677740862,40.60132890365448,319093.05000000005,311790,2243275.5,129556.01873920267,15351.0,15050.0,159136.03126079738
shoes,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,1191,1191,17865,14.68208228379513,22.401343408900082,262295.4,301194,1845796.68,58757.69329974811,15185.25,14887.5,173464.9567002519
shoes,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,1828,1828,27420,16.105667396061268,18.7718818380744,441617.4,466638,3157142.25,82899.89650437637,23307.0,22850.0,312560.50349562365
shoes,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,1361,1361,20415,10.748398236590742,41.82659808963997,219428.55,343522,1601796.37,91779.49770242469,17352.75,17012.5,93283.8022975753
sports_and_outdoors,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,511,511,7665,10.97986301369863,19.800391389432484,84160.65,132658,624477.42,16664.13809589041,6515.25,6387.5,54593.76190410959
sports_and_outdoors,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,1952,1952,29280,8.868437499999999,11.13422131147541,259667.84999999998,490750,1924494.14,28911.993093749996,24888.0,24400.0,181467.85690624997
sports_and_outdoors,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,1389,1389,20835,9.941310295176386,39.144708423326136,207127.2,348439,1416139.12,81079.33850539957,17709.75,17362.5,90975.61149460044
swimwear,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,1018,1018,15270,10.24975442043222,7.962671905697446,156513.75,256673,1120138.05,12462.676399803537,12979.5,12725.0,118346.57360019645
swimwear,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,2724,2724,40860,12.260385462555066,7.56057268722467,500959.35,696892,3643639.25,37875.39579019824,34731.0,34050.0,394302.95420980174
swimwear,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,18,18,270,9.408888888888889,37.0,2540.4,4572,16903.16,939.948,229.5,225.0,1145.9520000000002
tools_and_home_improvement,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,2624,2624,39360,8.000442073170731,3.2576219512195124,314897.4,666970,2201514.75,10258.166826219513,33456.0,32800.0,238383.2331737805
tools_and_home_improvement,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,1278,1278,19170,70.40500782472614,42.64319248826291,1349663.9999999998,319205,9773391.48,575539.8174647887,16294.5,15975.0,741854.6825352111
toys_and_games,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,2733,2733,40995,6.185872667398463,3.039151115989755,253589.84999999998,697585,1866029.09,7706.978756311745,34845.75,34162.5,176874.62124368822
toys_and_games,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,843,843,12645,19.88973902728351,44.33214709371293,251505.75,217281,1959358.77,111497.89903914591,10748.25,10537.5,118722.10096085409
underwear_and_sleepwear,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,392,392,5880,7.242959183673469,13.125,42588.6,102185,307219.89,5589.75375,4998.0,4900.0,27100.846250000002
underwear_and_sleepwear,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,2953,2953,44295,8.219979681679648,7.842194378598036,364104.0,741236,2610359.81,28553.743420250594,37650.75,36912.5,260987.0065797494
underwear_and_sleepwear,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,673,673,10095,5.02368499257058,42.661218424962854,50714.1,163799,356232.53,21635.252973254086,8580.75,8412.5,12085.597026745912
womens_clothing,0,Cluster 1 - High Discount / Promotional,Promo Hunters (Low Retention),Clearance & Restrict Discounting,1315,1315,19725,10.648806083650191,7.904942965779468,210047.7,330287,1473350.83,16604.15088593156,16766.25,16437.5,160239.79911406845
womens_clothing,1,Cluster 0 - Budget / Regular,Core Regulars (Stable),Maintain Stock & Optimize Margin,3053,3053,45795,14.377454962332132,4.5709138552243695,658415.5499999998,792225,4763414.07,30095.60759990173,38925.75,38162.5,551231.6924000981
womens_clothing,2,Cluster 2 - Premium / Multi-Color,High-LTV Buyers (Brand Loyal),Scale Assortment & VIP Campaigns,251,251,3765,10.187290836653386,41.62948207171315,38355.149999999994,67249,309756.69,15967.050292828682,3200.25,3137.5,16050.349707171314
